parent_id,expence_type,is_expence,taxability,type,item_id,hsn,uom,qty,rate,igst,igst_amt,cgst,cgst_amt,sgst,sgst_amt,total,item_disc,discount
1,,0,Taxable,return,46,90321090,PCS,1.00,2668.64,18.00,480.36,9.00,240.18,9.00,240.18,2668.64,0,0.00
2,,0,Taxable,return,46,90321090,PCS,1.00,1288.98,18.00,232.02,9.00,116.01,9.00,116.01,1288.98,0,0.00
4,,0,Taxable,return,44,84732100,PCS,1.00,1165.43,18.00,209.78,9.00,104.89,9.00,104.89,1165.43,0,0.00
5,,0,Taxable,return,46,90321090,PCS,1.00,931.36,18.00,167.64,9.00,83.82,9.00,83.82,931.36,0,0.00
6,,0,Taxable,return,44,84732100,PCS,1.00,2342.37,18.00,421.63,9.00,210.81,9.00,210.81,2342.37,0,0.00
1,,0,Taxable,invoice,44,84732100,PCS,1.00,1316.10,18.00,236.90,9.00,118.45,9.00,118.45,1316.10,0,0.00
7,,0,Exempt,return,2,49011010,PCS,1.00,2419.00,0.00,0.00,0.00,0.00,0.00,0.00,2419.00,0,0.00
9,,0,Exempt,return,2,49011010,PCS,1.00,2394.00,0.00,0.00,0.00,0.00,0.00,0.00,2394.00,0,0.00
11,,0,Taxable,return,45,69120090,PCS,1.00,2667.80,18.00,480.20,9.00,240.10,9.00,240.10,2667.80,0,0.00
12,,0,Taxable,return,46,90321090,PCS,1.00,1704.24,18.00,306.76,9.00,153.38,9.00,153.38,1704.24,0,0.00
13,,0,Exempt,return,2,49011010,PCS,1.00,1181.00,0.00,0.00,0.00,0.00,0.00,0.00,1181.00,0,0.00
14,,0,Taxable,return,46,90321090,PCS,1.00,25205.94,18.00,4537.07,9.00,2268.53,9.00,2268.53,25205.94,0,0.00
15,,0,Taxable,return,50,95061900,PCS,1.00,1565.25,18.00,281.75,9.00,140.87,9.00,140.87,1565.25,0,0.00
16,,0,Taxable,return,46,90321090,PCS,1.00,13999.15,18.00,2519.85,9.00,1259.92,9.00,1259.92,13999.15,0,0.00
17,,0,Exempt,return,2,49011010,PCS,1.00,1145.00,0.00,0.00,0.00,0.00,0.00,0.00,1145.00,0,0.00
18,,0,Exempt,return,2,49011010,PCS,1.00,6247.00,0.00,0.00,0.00,0.00,0.00,0.00,6247.00,0,0.00
19,,0,Taxable,return,45,69120090,PCS,1.00,2667.80,18.00,480.20,9.00,240.10,9.00,240.10,2667.80,0,0.00
20,,0,Exempt,return,2,49011010,PCS,1.00,2702.00,0.00,0.00,0.00,0.00,0.00,0.00,2702.00,0,0.00
21,,0,Exempt,return,2,49011010,PCS,1.00,1353.00,0.00,0.00,0.00,0.00,0.00,0.00,1353.00,0,0.00
22,,0,Taxable,return,45,69120090,PCS,1.00,3320.34,18.00,597.66,9.00,298.83,9.00,298.83,3320.34,0,0.00
23,,0,Taxable,return,46,90321090,PCS,1.00,11172.03,18.00,2010.97,9.00,1005.48,9.00,1005.48,11172.03,0,0.00
24,,0,Taxable,return,75,39261019,PCS,1.00,5385.59,18.00,969.41,9.00,484.70,9.00,484.70,5385.59,0,0.00
